證券代碼,年月日,收盤價(元),流通在外股數(千股),成交量(千股)
30365 文曄五,2017/04/26,126.5,"12,954",2
3037 欣興,2017/04/26,17.9,"1,528,035","11,121"
3038 全台,2017/04/26,10.4,"189,407",622
3040 遠見,2017/04/26,43.25,"63,000",542
3041 揚智,2017/04/26,15.3,"302,591",377
3042 晶技,2017/04/26,44.9,"309,757","4,355"
3043 科風,2017/04/26,3.31,"194,878",313
3044 健鼎,2017/04/26,83.5,"525,605","1,095"
3045 台灣大,2017/04/26,112,"3,420,832","4,842"
30453 台灣大三,2017/04/26,101.8,"100,000",195
3046 建碁,2017/04/26,4.33,"116,493",26
3047 訊舟,2017/04/26,10.65,"199,935",617
30476 訊舟六,2017/04/26,111.5,"3,055",0
3048 益登,2017/04/26,15.7,"222,572",168
30481 益登一,2017/04/26,100.3,"1,113",0
3049 和鑫,2017/04/26,10.95,"736,948","10,557"
3050 鈺德,2017/04/26,10.15,"152,067",346
3051 力特,2017/04/26,4.18,"325,332",535
3052 夆典,2017/04/26,8.58,"233,004",164
3054 立萬利,2017/04/26,21.85,"121,075",840
3055 蔚華科,2017/04/26,15.85,"103,511",73
3056 總太,2017/04/26,20.15,"230,484",703
3057 喬鼎,2017/04/26,13.95,"162,305",368
3058 立德,2017/04/26,10.65,"171,519",144
3059 華晶科,2017/04/26,26.4,"273,908","10,162"
3060 銘異,2017/04/26,31.35,"174,201",829
3062 建漢,2017/04/26,19.6,"328,845",685
3064 泰偉,2017/04/26,25.85,"72,105",768
3066 李洲,2017/04/26,9.38,"83,070",311
3067 全域,2017/04/26,12.7,"29,025",0
3068 美磊,2017/04/26,73,"85,008","3,439"
3071 協禧,2017/04/26,13.6,"146,067",782
3073 普格,2017/04/26,10.2,"46,463",23
3078 僑威,2017/04/26,30.6,"227,391","1,766"
3081 聯亞,2017/04/26,266,"90,607","1,928"
3083 網龍,2017/04/26,37.25,"85,704",65
3085 久大,2017/04/26,25,"102,081",108
3086 華義,2017/04/26,9.2,"31,166",9
30861 華義一,2017/04/26,100.5,"1,008",0
3088 艾訊,2017/04/26,57.8,"79,031",334
30881 艾訊一,2017/04/26,110.2,"4,200",17
3089 遠昇,2017/04/26,13,"93,890",6
3090 日電貿,2017/04/26,27.85,"166,969",384
3092 鴻碩,2017/04/26,50,"63,471","2,152"
3093 港建,2017/04/26,33.1,"36,288",0
3094 聯傑,2017/04/26,22.9,"83,255",285
3095 及成,2017/04/26,2.81,"109,276",0
3097 拍檔,2017/04/26,38.03,"75,085",70
3105 穩懋,2017/04/26,128.5,"402,666","3,487"
3114 好德,2017/04/26,11.85,"50,013",160
3115 寶島極,2017/04/26,12.05,"43,697",3
3117 年程,2017/04/26,7.38,"34,885",2
3118 進階,2017/04/26,31.95,"32,452",15
3122 笙泉,2017/04/26,16.15,"39,299",115
3128 昇銳,2017/04/26,11.75,"42,000",99
3130 一零四,2017/04/26,144.5,"33,225",3
3131 弘塑,2017/04/26,176,"24,683",76
3138 耀登,2017/04/26,13.95,"40,823",5
3141 晶宏,2017/04/26,32.1,"63,175",292
3144 新揚科,2017/04/26,23.95,"100,637","4,605"
3147 大綜,2017/04/26,16.85,"30,005",0
3149 正達,2017/04/26,17.6,"169,641",282
31491 正達一,2017/04/26,100.45,"4,800",0
31492 正達二,2017/04/26,99.25,"5,000",5
3150 鈺寶,2017/04/26,4.75,"37,582",88
3152 璟德,2017/04/26,325.5,"69,016",584
3162 精確,2017/04/26,6.6,"56,531",126
3163 波若威,2017/04/26,52.9,"74,426",861
31631 波若威一,2017/04/26,171,323,0
3164 景岳,2017/04/26,22.9,"88,911",412
3167 大量,2017/04/26,32.65,"79,978",139
3168 眾福科,2017/04/26,8.33,"49,399",90
3169 亞信,2017/04/26,24.5,"53,090",281
3171 新洲,2017/04/26,16.8,"59,203",49
31711 新洲一,2017/04/26,103.5,"2,000",0
3176 基亞,2017/04/26,56,"138,685",315
3178 公準,2017/04/26,91,"39,750",99
3184 微邦,2017/04/26,18.94,"62,044",7
3188 鑫龍騰,2017/04/26,22.65,"106,295",460
3189 景碩,2017/04/26,77.5,"446,000","4,055"
3191 和進,2017/04/26,17.2,"57,194",777
3202 樺晟,2017/04/26,13.15,"96,687","1,963"
32023 樺晟三,2017/04/26,111,"3,000",0
3205 佰研,2017/04/26,102,"32,772",185
3206 志豐,2017/04/26,21.8,"44,924",142
3207 耀勝,2017/04/26,10.55,"38,259",17
3209 全科,2017/04/26,25.65,"138,526",97
3211 順達,2017/04/26,40.5,"151,968",152
3213 茂訊,2017/04/26,49.8,"58,685",337
3217 優群,2017/04/26,25.7,"82,104",460
3218 大學光,2017/04/26,28.85,"76,123","3,296"
3219 倚強,2017/04/26,17.3,"23,300",1
3221 台嘉碩,2017/04/26,21.4,"96,446",144
3224 三顧,2017/04/26,46.3,"43,949","1,497"
32242 三顧二,2017/04/26,130.1,25,0
3226 至寶電,2017/04/26,61.9,"64,430",2
3227 原相,2017/04/26,76.8,"133,066","1,491"
3228 金麗科,2017/04/26,14.9,"67,792",69
3229 晟鈦,2017/04/26,9.76,"93,515",108
3230 錦明,2017/04/26,8,"107,746","1,374"
3231 緯創,2017/04/26,28.25,"2,650,316","10,266"
3232 昱捷,2017/04/26,18.05,"31,567",104
3234 光環,2017/04/26,45.45,"72,182","1,558"
32341 光環一,2017/04/26,101.35,"5,000",0
32342 光環二,2017/04/26,101.2,"5,000",30
3236 千如,2017/04/26,31.1,"63,096","2,105"
3252 海灣,2017/04/26,23.65,"28,093",31
32523 海灣三,2017/04/26,100.2,"1,506",0
3257 虹冠電,2017/04/26,35.55,"65,145",100
3259 鑫創,2017/04/26,17.3,"80,859",172
3260 威剛,2017/04/26,73,"229,973","8,146"
3264 欣銓,2017/04/26,25.2,"485,566","1,508"
3265 台星科,2017/04/26,25.35,"136,261",133
3266 昇陽,2017/04/26,11.6,"352,314",41
3268 海德威,2017/04/26,15.35,"33,426",34
3272 東碩,2017/04/26,43.25,"52,264",101
32721 東碩一,2017/04/26,102,"2,372",0
3276 宇環,2017/04/26,13.3,"69,712",114
3284 太普高,2017/04/26,20.4,"55,961",137
3285 微端,2017/04/26,20.15,"44,109",71
3287 廣寰科,2017/04/26,6.4,"43,970",0
3288 點晶,2017/04/26,6.46,"48,475",1
32881 點晶一,2017/04/26,99.55,"2,000",0
3289 宜特,2017/04/26,98,"62,492","1,166"
32893 宜特三,2017/04/26,126.5,"1,768",0
32894 宜特四,2017/04/26,111.5,"4,000",26
3290 東浦,2017/04/26,15.65,"99,548",122
3293 鈊象,2017/04/26,189.5,"69,979",229
3294 英濟,2017/04/26,15.9,"130,249",150
3296 勝德,2017/04/26,19.9,"103,224",253
3297 杭特,2017/04/26,15.8,"36,987",4
3299 帛漢,2017/04/26,66.3,"60,858",412
32994 帛漢四,2017/04/26,165,538,0
3303 岱稜,2017/04/26,20.45,"96,089",77
3305 昇貿,2017/04/26,31.15,"121,489",137
3306 鼎天,2017/04/26,23,"50,607",63
3308 聯德,2017/04/26,7.59,"99,949",20
3310 佳穎,2017/04/26,24.8,"83,768",103
3311 閎暉,2017/04/26,15.8,"189,383",235
3312 弘憶股,2017/04/26,7.31,"128,500",108
3313 斐成,2017/04/26,31.6,"83,770",495
3315 宣昶,2017/04/26,26.45,"70,281",222
3317 尼克森,2017/04/26,19.8,"61,251","1,336"
3321 同泰,2017/04/26,13.5,"89,000",126
3322 建舜電,2017/04/26,7.79,"86,415",52
33222 建舜電二,2017/04/26,104,"2,000",0
3323 加百裕,2017/04/26,20.9,"86,799",164
3324 雙鴻,2017/04/26,85,"79,999","2,266"
33242 雙鴻二,2017/04/26,154,"1,457",30
3325 旭品,2017/04/26,22.2,"77,134",76
33252 旭品二,2017/04/26,103.8,896,0
3332 幸康,2017/04/26,35.3,"48,104",1
3338 泰碩,2017/04/26,32.7,"69,612",364
33381 泰碩一,2017/04/26,112.5,"2,985",0
3339 泰谷,2017/04/26,6.37,"96,181",9
33392 泰谷二,2017/04/26,99,"8,000",0
33393 泰谷三,2017/04/26,99.4,"1,060",0
3345 慶良,2017/04/26,14.88,"37,500",0
3346 麗清,2017/04/26,99.2,"68,284","1,117"
3349 寶德,2017/04/26,18.01,"32,978",0
3354 律勝,2017/04/26,11.65,"70,112",45
3356 奇偶,2017/04/26,42.65,"77,259",143
3357 臺慶科,2017/04/26,25.1,"91,000",8
3360 尚立,2017/04/26,23.05,"75,456","1,135"
3362 先進光,2017/04/26,67.6,"93,378","6,386"
3363 上詮,2017/04/26,32.9,"77,494",544
3372 典範,2017/04/26,7.01,"407,929",173
3373 熱映,2017/04/26,19.75,"43,289",75
3374 精材,2017/04/26,46,"272,132","6,738"
3376 新日興,2017/04/26,84,"178,725","1,046"
3377 健格,2017/04/26,20.86,"12,634",1
3379 彬台,2017/04/26,10.45,"38,041",31
3380 明泰,2017/04/26,22.9,"434,469","3,968"
3383 新世紀,2017/04/26,3.95,"316,402",847
33835 新世紀五,2017/04/26,99.4,"6,000",0
3388 崇越電,2017/04/26,65,"64,106",60
3390 旭軟,2017/04/26,22.65,"65,845",590
3391 佳得,2017/04/26,14.73,"21,771",0
3402 漢科,2017/04/26,24.6,"73,047",193
3406 玉晶光,2017/04/26,363.5,"99,771","11,746"
3413 京鼎,2017/04/26,118.5,"75,000","2,539"
3416 融程電,2017/04/26,55.3,"60,181",91
3419 譁裕,2017/04/26,20.85,"120,495","2,094"
3426 台興,2017/04/26,68.5,"22,000",273
3428 光燿科,2017/04/26,66.1,"96,232","12,854"
3429 彥陽,2017/04/26,5.2,"34,205",32
3430 奇鈦科,2017/04/26,18.85,"27,350",3
3431 長天,2017/04/26,6.2,"35,458",5
3432 台端,2017/04/26,12.2,"66,586",54
3434 哲固,2017/04/26,15.25,"22,700",27
3437 榮創,2017/04/26,28.05,"149,416","3,551"
3438 類比科,2017/04/26,23.25,"67,379","2,173"
3441 聯一光,2017/04/26,38.9,"40,039","17,708"
3443 創意,2017/04/26,101.5,"134,011",416
3444 利機,2017/04/26,19.35,"39,114",164
3450 聯鈞,2017/04/26,130.5,"110,364","1,627"
3452 益通,2017/04/26,8.78,"779,449",162
3454 晶睿,2017/04/26,89.4,"79,930",782
3455 由田,2017/04/26,51.8,"61,458",795
3465 祥業,2017/04/26,19,"13,160",26
3466 致振,2017/04/26,19.2,"60,887",2
3479 安勤,2017/04/26,56.4,"69,303",83
3481 群創,2017/04/26,14.5,"9,952,078","116,993"
3483 力致,2017/04/26,31.9,"48,960",777
3484 崧騰,2017/04/26,41.7,"65,391",466
34841 崧騰一,2017/04/26,155,"1,116",0
3485 敘豐,2017/04/26,30.41,"31,955",14
3489 森寶,2017/04/26,11.3,"83,130",46
3490 單井,2017/04/26,33.5,"67,215",514
3491 昇達科,2017/04/26,78.7,"51,581","2,105"
3492 長盛,2017/04/26,31.3,"35,531",152
3494 誠研,2017/04/26,10.85,"179,450",307
3498 陽程,2017/04/26,52.4,"92,287",860
3499 環天科,2017/04/26,15.15,"54,970",440
3501 維熹,2017/04/26,52.4,"118,257",220
3504 揚明光,2017/04/26,38.5,"114,059","5,058"
3505 聯線上,2017/04/26,38.21,"17,471",0
3508 位速,2017/04/26,15.25,"92,837",458
3511 矽瑪,2017/04/26,19.85,"38,972",50
3512 能緹,2017/04/26,42.5,"59,000",376
3514 昱晶,2017/04/26,16.15,"519,650","1,329"
3515 華擎,2017/04/26,40.7,"115,041",45
3516 亞帝歐,2017/04/26,9.94,"69,083",197
3518 柏騰,2017/04/26,20.65,"80,707",19
3519 綠能,2017/04/26,15.3,"414,261",968
3520 振維,2017/04/26,122.5,"64,032",345
3521 鴻翊,2017/04/26,9.15,"46,730",11
3522 宏森,2017/04/26,40.4,"64,950",737
3523 迎輝,2017/04/26,9.6,"96,099",49
3526 凡甲,2017/04/26,69.3,"65,837","1,484"
35263 凡甲三,2017/04/26,109,"5,000",50
3527 聚積,2017/04/26,73,"33,156",386
3528 安馳,2017/04/26,32.55,"63,136",182
3529 力旺,2017/04/26,415,"75,782",122
3530 晶相光,2017/04/26,139.5,"67,301",67
3531 先益,2017/04/26,23.2,"61,175",32
3532 台勝科,2017/04/26,94.6,"775,696","3,046"
3533 嘉澤,2017/04/26,116,"93,477","2,787"
3535 晶彩科,2017/04/26,14.6,"79,052",882
35352 晶彩科二,2017/04/26,109.5,"1,925",0
3536 誠創,2017/04/26,24.1,"96,800","3,210"
3537 堡達,2017/04/26,22,"48,695",141
3540 曜越,2017/04/26,19.7,"66,613",126
3541 西柏,2017/04/26,152,"44,829",276
3543 州巧,2017/04/26,11.74,"81,436",276
3545 敦泰,2017/04/26,36.65,"297,032","6,311"
3546 宇峻,2017/04/26,89.9,"34,272",568
3548 兆利,2017/04/26,52.4,"60,551",198
3550 聯穎,2017/04/26,18.4,"85,000",129
3551 世禾,2017/04/26,29.95,"56,774",10
3552 同致,2017/04/26,203.5,"85,040","1,407"
3553 力積,2017/04/26,14.25,"67,953",114
3555 重鳥鵬,2017/04/26,67.3,"35,550",7
3556 禾瑞亞,2017/04/26,51.4,"57,181",138
3557 嘉威,2017/04/26,5.26,"143,246",80
3558 神準,2017/04/26,142,"49,060",233
3559 全智科,2017/04/26,23.65,"120,580",27
3561 昇陽光電,2017/04/26,12.1,"371,209",624
3562 頂晶科,2017/04/26,14.5,"58,090",150
3563 牧德,2017/04/26,82.5,"42,608",402
3564 其陽,2017/04/26,38,"20,481",53
35641 其陽一,2017/04/26,105,"2,000",0
3566 太陽光,2017/04/26,4.44,"166,819",80
3567 逸昌,2017/04/26,27.1,"35,581",69
3570 大塚,2017/04/26,48.8,"17,097",37
3576 新日光,2017/04/26,13.6,"1,017,615","2,788"
3577 泓格,2017/04/26,36.85,"43,689",15
3579 尚志,2017/04/26,11.65,"115,597",50
3580 友威科,2017/04/26,32,"63,470",529
35801 友威科一,2017/04/26,287,250,0
3581 博磊,2017/04/26,23.7,"51,776",850
3583 辛耘,2017/04/26,54.2,"81,139",18
3585 聯致,2017/04/26,5.35,"137,409",10
3587 閎康,2017/04/26,103.5,"53,313",115
3588 通嘉,2017/04/26,30.35,"47,409",90
3591 艾笛森,2017/04/26,16.15,"132,382",516
3592 瑞鼎,2017/04/26,65.06,"72,230",215
3593 力銘,2017/04/26,11,"112,743","1,006"
3594 磐儀,2017/04/26,21.45,"57,780",67
3595 山太士,2017/04/26,6.4,"22,571",30
3596 智易,2017/04/26,50.7,"189,119","2,194"
3597 映興,2017/04/26,14.1,"31,388",0
3601 前源,2017/04/26,18,"66,092",28
3603 連營,2017/04/26,2.41,"47,769",27
3605 宏致,2017/04/26,25.1,"123,355",112
3607 谷崧,2017/04/26,30.15,"121,662",96
36072 谷崧二,2017/04/26,100.8,"8,000",19
3609 東林,2017/04/26,16,"30,339",1
36091 東林一,2017/04/26,103,"1,499",0
3611 鼎翰,2017/04/26,224,"38,555",165
36111 鼎翰一,2017/04/26,99.5,"12,000",10
3615 安可,2017/04/26,26,"70,584",392
3617 碩天,2017/04/26,96.4,"80,951",57
3622 洋華,2017/04/26,12,"151,327",270
3623 富晶通,2017/04/26,53.5,"36,277",158
3624 光頡,2017/04/26,20.25,"117,340",128
3625 西勝,2017/04/26,30.65,"62,005","6,261"
36251 西勝一,2017/04/26,283,"1,342",0
3627 華信科,2017/04/26,54.18,"28,173",587
3628 盈正,2017/04/26,46.3,"45,000",36
3629 群富通,2017/04/26,20.7,"20,246",27
3630 新鉅科,2017/04/26,43.9,"101,348","5,174"
3631 晟楠,2017/04/26,23,"79,920",15
3632 研勤,2017/04/26,16.15,"30,807",301
36322 研勤二,2017/04/26,107,"2,000",3
3633 云光,2017/04/26,38.49,"34,023",73
3642 駿熠電,2017/04/26,22.9,"30,368",30
3644 凌嘉科,2017/04/26,14.4,"53,004",1
3645 達邁,2017/04/26,48.8,"123,257","3,224"
3646 艾恩特,2017/04/26,24.1,"38,811",45
3652 精聯,2017/04/26,24.1,"47,075",14
3653 健策,2017/04/26,69.9,"106,324","5,237"
3659 百辰,2017/04/26,5.85,"53,203",12
3661 世芯-KY,2017/04/26,62,"60,702","3,666"
36624 樂陞四,2017/04/26,90,"2,755",0
36625 樂陞五,2017/04/26,121.5,"4,999",0
36626 樂陞六,2017/04/26,88.5,953,0
3663 鑫科,2017/04/26,17.9,"73,498",23
36632 鑫科二,2017/04/26,102.65,140,0
3664 安瑞-KY,2017/04/26,16.2,"74,778",87
3665 貿聯-KY,2017/04/26,184,"106,299","1,428"
3666 光耀,2017/04/26,23.35,"48,299",205
3669 圓展,2017/04/26,20.8,"97,481",55
3672 康聯訊,2017/04/26,32.7,"31,171",43
3673 TPK-KY,2017/04/26,105,"346,633","23,855"
3674 康訊,2017/04/26,8.2,"18,248",0
3675 德微,2017/04/26,60.8,"44,428","2,127"
3678 聯享,2017/04/26,4.4,"24,280",0
3679 新至陞,2017/04/26,83.2,"79,303",112
3680 家登,2017/04/26,34,"65,960",102
3682 亞太電,2017/04/26,9.9,"4,300,627","5,165"
3684 榮昌,2017/04/26,36.4,"24,606",23
3685 元創精密,2017/04/26,54.5,"79,995",12
3686 達能,2017/04/26,6.58,"349,626",630
3687 歐買尬,2017/04/26,40.9,"30,059",26
3688 華立捷,2017/04/26,37.88,"73,621",44
3689 湧德,2017/04/26,38,"69,675","1,115"
3691 碩禾,2017/04/26,250,"60,989",551
36911 碩禾一,2017/04/26,102.65,"17,417",32
3693 營邦,2017/04/26,66.5,"38,535",16
36931 營邦一,2017/04/26,103.5,"5,000",52
3694 海華,2017/04/26,14,"129,838",189
3698 隆達,2017/04/26,20.15,"547,043","12,164"
36981 隆達一,2017/04/26,100.45,244,2
36982 隆達二,2017/04/26,98.85,"3,144",0
3701 大眾控,2017/04/26,6,"380,689",0
3702 大聯大,2017/04/26,38.2,"1,741,900","3,932"
37021 大聯大一,2017/04/26,107.1,"29,488",113
3703 欣陸,2017/04/26,10.7,"823,215",160
3704 合勤控,2017/04/26,15.9,"441,177",731
3705 永信,2017/04/26,44.7,"266,422",72
3706 神達,2017/04/26,31.75,"817,902","2,585"
3707 漢磊,2017/04/26,14.1,"174,320","4,193"
37071 漢磊一,2017/04/26,141,"5,243",2
3708 上緯投控,2017/04/26,67,"90,847",202
37081 上緯投控一,2017/04/26,632,962,0
37082 上緯投控二,2017/04/26,101,"7,000",11
4102 永日,2017/04/26,17.25,"42,373",46
4103 百略,2017/04/26,68.8,"109,996",25
4104 佳醫,2017/04/26,45.1,"127,626",96
41045 佳醫五,2017/04/26,121,188,0
4105 東洋,2017/04/26,100.5,"248,649","1,298"
4106 雃博,2017/04/26,30.65,"83,385",82
41061 雃博一,2017/04/26,105,"3,000",0
4107 邦特,2017/04/26,89.9,"69,298",889
4108 懷特,2017/04/26,28.65,"163,616",298
4109 穆拉德加捷,2017/04/26,22,"78,753",393
41093 穆拉德加捷三,2017/04/26,109.05,"2,386",0
4111 濟生,2017/04/26,23.45,"56,982",63
4113 聯上,2017/04/26,9.99,"205,764",130
4114 健喬,2017/04/26,30.85,"164,768","1,765"
41145 健喬五,2017/04/26,115,"5,000",0
4116 明基醫,2017/04/26,37.15,"44,320",31
4117 普生,2017/04/26,19.8,"49,105",30
4119 旭富,2017/04/26,73.1,"79,485",107
4120 友華,2017/04/26,72,"86,747",786
4121 優盛,2017/04/26,11.2,"73,316",74
4123 晟德,2017/04/26,56.7,"291,916",211
41233 晟德三,2017/04/26,105.35,"22,804",6
4126 太醫,2017/04/26,77.8,"66,015",80
4127 天良,2017/04/26,17.3,"45,760",89
4128 中天,2017/04/26,21.15,"425,342",375
4129 聯合,2017/04/26,67,"71,746",783
4130 健亞,2017/04/26,39.15,"100,806",398
41301 健亞一,2017/04/26,98.9,"2,500",0
4131 晶宇,2017/04/26,7.47,"38,291",0
4132 國鼎,2017/04/26,43.99,"112,216",92
4133 亞諾法,2017/04/26,34.55,"58,789",12
4134 台欣生,2017/04/26,8.74,"41,391",3
4135 天賜爾,2017/04/26,10.05,"30,548",2
4136 太和-KY,2017/04/26,74.5,"24,296",7
4137 麗豐-KY,2017/04/26,140.5,"79,492",188
41371 麗豐一KY,2017/04/26,101.25,"9,000",0
4138 曜亞,2017/04/26,55.6,"30,000",20
41382 曜亞二,2017/04/26,103.95,"3,000",0
4139 馬光-KY,2017/04/26,38.5,"38,147",17
4141 龍燈-KY,2017/04/26,32.45,"151,911",161
41412 龍燈二KY,2017/04/26,109.45,"3,000",0
41413 龍燈三KY,2017/04/26,101.3,"5,000",21
4142 國光生,2017/04/26,21.55,"237,684",242
41421 國光生一,2017/04/26,106.8,"5,997",5
41422 國光生二,2017/04/26,106.35,"8,987",34
4144 康聯-KY,2017/04/26,40.15,"78,139",55
4147 中裕,2017/04/26,173.5,"250,195",555
4150 優你康,2017/04/26,15.51,"109,660",32
4151 明躍,2017/04/26,17,"43,325",0
4152 台微體,2017/04/26,115.5,"55,819",43
4153 鈺緯,2017/04/26,30.95,"49,366",168
41532 鈺緯二,2017/04/26,101.5,"3,000",0
4154 康樂-KY,2017/04/26,18.75,"19,526",21
4155 訊映,2017/04/26,33.09,"65,596",41
4157 太景*-KY,2017/04/26,23,"716,760",409
4159 泉盛,2017/04/26,20.62,"302,423",45
4160 創源,2017/04/26,25.4,"24,247",31
4161 聿新科,2017/04/26,54,"52,257",98
4162 智擎,2017/04/26,184.5,"122,583",377
4163 鐿鈦,2017/04/26,134,"40,238",162
41631 鐿鈦一,2017/04/26,106,"5,000",27
4164 承業醫,2017/04/26,41.9,"139,855",67
41642 承業醫二,2017/04/26,105,"10,000",10
4166 友霖,2017/04/26,24.51,"130,033",9
4167 展旺,2017/04/26,23.85,"246,526",245
4168 醣聯,2017/04/26,28.2,"76,993",66
4169 泰宗,2017/04/26,25.8,"47,592",3
4170 鑫品,2017/04/26,17,"39,597",42
4171 瑞基,2017/04/26,20.9,"34,340",95
41711 瑞基一,2017/04/26,103,"2,000",0
4172 因華,2017/04/26,24,"68,590",50
4173 久裕,2017/04/26,22.65,"44,574",603
4174 浩鼎,2017/04/26,265,"172,013","1,047"
4175 杏一,2017/04/26,74.3,"28,240",21
41751 杏一一,2017/04/26,103.5,"3,000",33
4177 柏登,2017/04/26,33.5,"34,500",8
4180 安成藥,2017/04/26,84.4,"125,103",100
4183 福永生技,2017/04/26,29,"23,800",22
4186 尖端醫,2017/04/26,27.98,"60,000",2
4187 得榮,2017/04/26,13.31,"24,180",0
4188 安克,2017/04/26,27.95,"52,695",39
4190 佐登-KY,2017/04/26,82.5,"61,154",117
4191 法德藥,2017/04/26,90.79,"55,158",15
4192 杏國,2017/04/26,32.75,"69,867",177
4193 喬本,2017/04/26,88,"39,281",206
4194 禾生技,2017/04/26,17.4,"67,731",0
4195 基米,2017/04/26,12.5,"57,891",10
4197 暐世,2017/04/26,14.26,"30,510",4
4198 環瑞醫,2017/04/26,21,"141,800",110
4205 中華食,2017/04/26,58.1,"72,704",23
4207 環泰,2017/04/26,13,"173,617",825
4303 信立,2017/04/26,28.8,"72,821",49
4304 勝昱,2017/04/26,7.52,"51,333",22
4305 世坤,2017/04/26,33.3,"55,014",7
4306 炎洲,2017/04/26,12.95,"451,284",374
43067 炎洲七,2017/04/26,100,50,0
4401 東隆興,2017/04/26,78.3,"120,286",58
4402 福大,2017/04/26,4.6,"45,991",8
4406 新昕纖,2017/04/26,9.81,"51,912",7
4413 飛寶,2017/04/26,10.9,"19,314",4
4414 如興,2017/04/26,18.7,"852,393",401
44144 如興四,2017/04/26,121,"8,596",0
4416 三圓,2017/04/26,81.2,"60,015",0
44161 三圓一,2017/04/26,102,"1,405",0
4417 金洲,2017/04/26,38.45,"82,334",146
4419 元勝國際,2017/04/26,7.15,"29,578",0
4420 光明,2017/04/26,25.2,"40,455",64
4426 利勤,2017/04/26,80,"113,053",588
4427 展頌,2017/04/26,8.93,"153,727",84
4429 聚紡,2017/04/26,23,"34,350",15
4430 耀億,2017/04/26,24.6,"56,273",62
4431 敏成,2017/04/26,34.34,"18,270",74
4432 銘旺實,2017/04/26,43.15,"50,589",38
4433 興采,2017/04/26,24.7,"31,560",5
4438 廣越,2017/04/26,165.5,"103,763",44
4502 健信,2017/04/26,47,"42,395",20
4503 金雨,2017/04/26,47,"39,263",422
4506 崇友,2017/04/26,37.25,"196,680",25
4510 高鋒,2017/04/26,16.8,"108,010",110
4513 福裕,2017/04/26,9.1,"76,880",32
4523 永彰,2017/04/26,18.45,"64,000",53
45231 永彰一,2017/04/26,100,42,0
4526 東台,2017/04/26,21.65,"254,826",135
4527 方土霖,2017/04/26,34.7,"76,152",346
4528 江興鍛,2017/04/26,54.9,"76,514",291
4529 昶洧,2017/04/26,36.05,"80,142",307
4530 宏易,2017/04/26,8.56,"46,172",181
4532 瑞智,2017/04/26,32.3,"487,937",478
45322 瑞智二,2017/04/26,119,"4,687",0
4533 協易機,2017/04/26,13.8,"160,254",192
4534 慶騰,2017/04/26,28.85,"81,464",305
45343 慶騰三,2017/04/26,176,"2,266",0
4535 至興,2017/04/26,44.5,"75,661",9
4536 拓凱,2017/04/26,105,"90,820",10
4537 旭東,2017/04/26,11.91,"72,000",0
4538 大詠城,2017/04/26,19.5,"42,000",5
4540 全球,2017/04/26,27.2,"85,278",73
4541 晟田,2017/04/26,25.8,"54,143",165
45411 晟田一,2017/04/26,100.85,169,0
45412 晟田二,2017/04/26,105.1,167,0
45413 晟田三,2017/04/26,107.95,"3,000",0
45414 晟田四,2017/04/26,100.3,"2,000",15
4542 科嶠,2017/04/26,25.25,"28,285",14
4543 萬在,2017/04/26,20.2,"56,735",39
4544 春日,2017/04/26,22,"60,290",0
4545 銘鈺,2017/04/26,38.45,"77,000",37
4546 長亨,2017/04/26,178,"33,870",57
4549 桓達,2017/04/26,95.5,"38,465",364
4550 長佳,2017/04/26,22.45,"34,301",53
45501 長佳一,2017/04/26,118,"1,052",0
4551 智伸科,2017/04/26,136.5,"81,934",199
4552 力達-KY,2017/04/26,101,"100,000","1,020"
4553 盛復,2017/04/26,32.52,"31,065",0
4554 橙的,2017/04/26,37.85,"21,318",26
4555 氣立,2017/04/26,61.1,"66,880",14
4556 旭然,2017/04/26,30.5,"35,228",11
4557 永新-KY,2017/04/26,82.9,"34,425",217
4558 寶緯,2017/04/26,16.56,"44,100",0
4559 久裕興,2017/04/26,9.94,"35,300",30
4560 強信-KY,2017/04/26,46.56,"58,000",3
4561 健椿,2017/04/26,30.6,"47,564",48
4562 穎漢,2017/04/26,53.8,"60,040",33
4563 百德,2017/04/26,65,"35,250",3
4564 元翎,2017/04/26,35.01,"155,648",107
4565 宏偉,2017/04/26,38.39,"42,000",34
4566 時碩工業,2017/04/26,78.32,"60,000",6
4609 唐鋒,2017/04/26,9.56,"47,946",19
4702 中美實,2017/04/26,6.5,"225,000",299
47031 揚華一,2017/04/26,21.75,"2,997",0
4706 大恭,2017/04/26,22.4,"79,030",52
4707 磐亞,2017/04/26,9.95,"225,608",191
4711 永純,2017/04/26,21.2,"61,056",80
4712 南璋,2017/04/26,15.8,"60,524",130
4714 永捷,2017/04/26,13.05,"82,163",739
47143 永捷三,2017/04/26,132.3,107,0
4716 大立,2017/04/26,23.5,"73,327",734
4720 德淵,2017/04/26,14.7,"88,576",23
47201 德淵一,2017/04/26,105.9,"2,500",37
4721 美琪瑪,2017/04/26,41.95,"74,986","1,262"
4722 國精化,2017/04/26,33.8,"95,246",127
4725 信昌化,2017/04/26,22.65,"291,975",353
4726 永昕,2017/04/26,33.1,"112,088",83
4728 雙美,2017/04/26,39.7,"54,463",84
4729 熒茂,2017/04/26,16.85,"104,402",86
4732 彥臣,2017/04/26,20,"35,000",15
4735 豪展,2017/04/26,40.75,"34,111",450
4736 泰博,2017/04/26,100.5,"74,597",123
47362 泰博二,2017/04/26,109,"5,998",0
